status_id,text
1238122610485067782,Only Virginia’s class 1 and 2 finals on Thursday at the Siegel Center in Richmond will allow spectators. The other four divisions on Friday and Saturday in Richmond will be closed to fans. https://t.co/gMZoyN5vV6
1236751866165370880,"Watch Anthony Cowan, Eric Ayala and Aaron Wiggins react following the #Terps' win over Michigan to claim a share of B1G title: https://t.co/5blYSpKu3H"
1236720100516003840,"Terrapins going to Atlanta, again! #Terps #BigDancing #Truss"
1236750439409950723,Maryland basketball just keeps winning this Sunday
1236075688559382528,"today's USA NBA G League 2020 live stream
Fort Wayne Mad Ants vs College Park Skyhawks
▶️watch live here📺 ➤https://t.co/PP6SMbJTDH"
1233924267412205570,Oh... it’s packed. And rowdy. #Terps @WMAR2News https://t.co/X6RoGc2RXe
1235805027710558208,@MambaBald @marchmadness @TheAndyKatz @NaismithTrophy @KUHoops @DukeMBB @Aztec_MBB @IowaHoops @MarquetteMBB @SetonHallMBB @OregonMBB @TerrapinHoops @DaytonFlyers found the Michigan State fan
1236741720139800577,"""This is what it's all about!""

Raise that trophy @TerrapinHoops! 🏆 https://t.co/CjKEfG4RXx"
1235625037140340736,"Here is Thursday morning's updated @CBSSports Top 25 And 1 daily college basketball rankings — with some words at the top on Maryland.

1. Kansas
2. Baylor
3. Gonzaga
4. Dayton
5. San Diego State
https://t.co/nohz1QxvJQ"
1236743388038389761,This doesn’t feel like a job or Big Business!! Kinda feels like joy and personal accomplishment
1238474858738130944,Those curious to what has happened across the country regarding state basketball tournaments. @MSHSAAOrg
1233917728039284737,"Same starting five as the first #Terps-Sparty matchup:

Anthony Cowan
Eric Ayala
Darryl Morsell
Donta Scott
Stix Smith"
1234299875442987009,"Fouls called in top-15 college basketball games today:

Penn State-Iowa: 27
Seton Hall-Marquette: 29
Duke-Virginia: 34
FSU-Clemson: 35
Michigan State-Maryland: 35
Providence-Villanova: 36
San Diego State-Nevada: 38
Kansas-Kansas State: 40
Baylor-TCU: 41

Auburn-Kentucky: 46"
1233950896922517505,TIME RUNNING OUT- @TerrapinHoops trails @MSU_Basketball 76-63 with 4:13 left. Jalen Smith has 20 points with 12 rebounds while Anthony Cowan adds 12 points. Cassius Winston leads the visitors with 20 and 6 assists. @WTOP
1238218238074458112,BREAKING: The Big Ten Conference men's basketball tournament has been cancelled. The #Terps were the No. 3 seed. I would be shocked if the NCAA Tournament is still played. @WMAR2News
1233941032838074369,I’d be fine with firing Turgeon right now. This team is embarrassing. I’d be shocked if they make it to the second week or the tourney. What a complete joke. #terps
1233954271462330368,#Terps got smacked in the mouth tonight. MSU hit every shot and Maryland couldn't battle back. These teams each beat each other on the road. Going to be a fight for the regular season title down the stretch.
1233958900065501184,"Too bad the #Terps lost tonight, especially with it being at home and all of the excitement that came with today’s game. 

Credit to MSU. They were probably extra motivated after losing to Maryland on their own home floor two weeks ago.

Maryland will bounce back.

#FearTheTurtle"
1236680836197515266,"Four years ago, Will Clark was still playing pick-up games at the Eppley Recreation courts. 

Now, he's being recognized prior to Maryland basketball's season finale against Michigan, his teammates messing with his hair. 

Quite the rise for the walk-on.

https://t.co/a1vIHmQuzl"
1236718752366047234,"It took three games, but No. 9 Maryland men’s basketball has finally done it.

With a 83-70 win over No. 25 Michigan, the Terps have claimed a share of the Big Ten championship and finish the regular season with a 24-7 overall record. https://t.co/FuK7NYCoRb"
1236720592570716161,@kevinsheehanDC @CoachTurgeon @TerrapinHoops didnt terps tie with wisconsin? didnt wisconsin beat terps?
1236883885264437250,Mark Turgeon: “Anthony came back to hang a banner. He gets to hang a banner.”
1236738994903437313,YOUR MARYLAND TERRAPINS ARE BIG TEN BASKETBALL CHAMPIONS
1236719050098708480,YOUR MARYLAND TERRAPINS ARE BIG TEN BASKETBALL CHAMPIONS
1236687011139989505,#Michigan leads the #Terps 7-6 at the under 16 TO.  Both teams are 3-6 from the floor
1233927559081054208,Badly needed three from Ahrens to staunch the bleeding and keep the #Spartans in the lead 22-18 as the #Terps make a huge run coming out of the media timepout. @TheOnlyColors
1236721125364817925,"🐢🏆

Congrats to No. 9 @TerrapinHoops on winning a share of its first B1G title. https://t.co/lC3pFBacYl"
1238465550491279367,S/o to my fellas especially the seniors @SchadeggJacob @calebzurliene @tanner_gerdes @goebelgrant5 @KassenBen @ZachNapo for their GREAT careers after all of the dedication and time they gave to the MD fam and the game of basketball... hate to see it end like this
1236844019545767936,"My first video shot ever for @TerrapinHoops! 🙌🏼 #smsports 

 https://t.co/F5EyQJ0Hfv"
1236751748603183106,"A little birdie told me Chase Young was at the #Terps game today, first title of many he’s gonna see in DC??? #Redskins"
1233942711780069376,Maryland basketball 🏀. #Shame
1233920256462159872,The students are present and ready to rock. #Terps-Sparty at the top of the hour on ESPN. Share of Big Ten title on the line. https://t.co/UmJYFvpZCZ
1238488153796870145,Interesting.  Everything seems so fluid right now.  I wonder if other conferences will follow suit?
1237253844033142784,You already know.
1236724415297130496,"Maryland men’s: Big Ten champs

Maryland women’s: Big Ten champs

Big Ten basketball is different in College Park"
1238296395720929280,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
1235701539827826691,@marchmadness @Hoophall @BYUbasketball @yochilds22 @DaytonFlyers @ZagMBB @KillianTillie @JalenSmith2000 @TerrapinHoops @HailStateMBK @_R1bang_ easy dub
1236702049766703104,@theleahray @LibertyMBB_ @TerrapinHoops @MWarnerTV If we get a 13 seed I am writing the committee lol
1233935607744749568,@ILuvKaraoke @TerrapinHoops There is an article in the Washington Post breaking down each of our comebacks this season that have given us ulcers.. haha its a good read. so stressful every game
1238204971369345024,To all #Terps fans who have followed along over my 3 1/2 years... thank you. I'm so excited to see what the crew has in store for next year. #YourTerpsYourStation
1236735308814835715,"✌️ games left, and a lot to be determined.

@BadgerMBB and @TerrapinHoops have a share of the B1G title, and @MSU_Basketball can join them.

B1G tourney seeds:

1. UW 
2. ?
3. ?
4. ?
5. ?
6. ?
7. ?
8. RU
9. MICH
10. PUR
11. IU
12. MIN
13. NU
14. NEB https://t.co/JQ3ntwB4E4"
1233935638191333376,An evergreen meme @TerrapinHoops https://t.co/Mn0gk7Ofpb
1236732366959280130,Congrats to the Big 10 Regular Season Champions @TerrapinHoops &amp; Bowie native Anthony Cowan Jr.! I look forward to watching you go all the way in the Conference &amp; NCAA Tournaments. #FearTheTurtle
1233954874422898688,@TerrapinHoops SPARTANS overcome corrupt officiating to win
1236801418968715264,"Pretty good day to be a Maryland 🏀 fan, huh?"
1236720863447261185,"Nice win Terps! 🏀 Final regular season game BTN. Co-Champs!
Go Big Ten!"
1233957123052187648,https://t.co/2EighbCe9Z
1236853122212990977,Doesn’t matter the gender. Maryland runs Big Ten Basketball
1236718826647101440,🏆🔒 @TerrapinHoops secure a share of the @bigten Regular Season Title with their win over Michigan https://t.co/BzIRs5wCdD
1236775723534290950,Congrats to TITANS Basketball for making the FINAL FOUR! Headed to U of MD. Defeated Liberty Hogh School #BCPS #MPSSAA #TITANS #SUPPORT #MOREWORK2DO https://t.co/gssq081Vm2
1235619456543571968,"Turgeon on schedule complaint, Cowan senior day, Bino recruiting https://t.co/y573UOubhm"
1236720146716209167,Anytime @TerrapinHoops fans see @AnthonyCowanJr: https://t.co/uVSv5h0V6B
1238450055478116355,@TimBrando @SetonHallMBB @NovaMBB @TerrapinHoops @bigten @TimBrando so do the players with no eligibility left and their season was done the  tournament over get to play next yet also?
1233922831597146115,@VeryRBLXPriv @thatintaminguy @TerrapinHoops @AnthonyCowanJr @EA_Glo @410D_ @JalenSmith2000 20 years ago?
1233900086159183872,And FSU lost..... this @TerrapinHoops chance to get a 1 seed.... tonight’s our shot to lock it up. And me and my day 1 homie @60_DantheMan are here in college park to witness it in person
1235820890509598726,Should have to take an IQ test to be on Twitter
1236788966667542537,B1G shoutout to @PKaFairy for spending his 50th wedding anniversary at Xfinity Center with the Maryland basketball team🤩🤩 https://t.co/grW5uBJyTp
1233955102945349633,@TerrapinHoops Add that Zebra Icon next to your final score as well. Jeez
1236692108075044864,This is how i like to see my #Terps ball!!! #MICHvsMD
1233926152483463168,Terps by a million. Let’s go.
1237386821132324864,"Thanks to the Washington City Paper for the opportunity to write about my years on the Maryland basketball beat at the Baltimore Sun.
I hope you enjoy reading it as much as I enjoyed writing it. 
https://t.co/D1LBK0lig7"
1236672094735339520,#Terps have some special guests: Kevin Huerter and Bruno Fernando https://t.co/T82qFODso5
1236697083731529728,COUNT THAT BIH!!!!! #terps #stix 🐢🐢🐢🐢
1236803716596056065,"""This is what it's all about!""

Raise that trophy @TerrapinHoops! 🏆 https://t.co/CjKEfG4RXx"
1238202112305233923,Both of Maryland’s basketball teams had such a good chance to win the NCAA tournaments this year...I am so sad for our players
